date,"Vacancies (ICT), thousands"
2001 MAY,50
2001 JUN,48
2001 JUL,47
2001 AUG,46
2001 SEP,44
2001 OCT,43
2001 NOV,40
2001 DEC,41
2002 JAN,42
2002 FEB,43
2002 MAR,44
2002 APR,44
2002 MAY,44
2002 JUN,45
2002 JUL,45
2002 AUG,43
2002 SEP,40
2002 OCT,40
2002 NOV,40
2002 DEC,42
2003 JAN,42
2003 FEB,42
2003 MAR,40
2003 APR,40
2003 MAY,39
2003 JUN,37
2003 JUL,37
2003 AUG,39
2003 SEP,40
2003 OCT,40
2003 NOV,41
2003 DEC,41
2004 JAN,42
2004 FEB,42
2004 MAR,43
2004 APR,43
2004 MAY,44
2004 JUN,45
2004 JUL,45
2004 AUG,46
2004 SEP,47
2004 OCT,47
2004 NOV,47
2004 DEC,46
2005 JAN,44
2005 FEB,42
2005 MAR,42
2005 APR,42
2005 MAY,42
2005 JUN,40
2005 JUL,39
2005 AUG,39
2005 SEP,39
2005 OCT,39
2005 NOV,39
2005 DEC,39
2006 JAN,40
2006 FEB,40
2006 MAR,40
2006 APR,40
2006 MAY,40
2006 JUN,41
2006 JUL,42
2006 AUG,41
2006 SEP,40
2006 OCT,40
2006 NOV,39
2006 DEC,40
2007 JAN,39
2007 FEB,41
2007 MAR,43
2007 APR,44
2007 MAY,44
2007 JUN,44
2007 JUL,43
2007 AUG,43
2007 SEP,43
2007 OCT,43
2007 NOV,43
2007 DEC,42
2008 JAN,40
2008 FEB,39
2008 MAR,36
2008 APR,34
2008 MAY,34
2008 JUN,37
2008 JUL,39
2008 AUG,37
2008 SEP,36
2008 OCT,31
2008 NOV,30
2008 DEC,28
2009 JAN,28
2009 FEB,26
2009 MAR,25
2009 APR,24
2009 MAY,23
2009 JUN,22
2009 JUL,22
2009 AUG,23
2009 SEP,24
2009 OCT,25
2009 NOV,25
2009 DEC,25
2010 JAN,25
2010 FEB,25
2010 MAR,25
2010 APR,25
2010 MAY,26
2010 JUN,27
2010 JUL,27
2010 AUG,28
2010 SEP,29
2010 OCT,29
2010 NOV,29
2010 DEC,30
2011 JAN,32
2011 FEB,33
2011 MAR,33
2011 APR,32
2011 MAY,31
2011 JUN,32
2011 JUL,33
2011 AUG,33
2011 SEP,32
2011 OCT,32
2011 NOV,33
2011 DEC,34
2012 JAN,33
2012 FEB,32
2012 MAR,32
2012 APR,32
2012 MAY,31
2012 JUN,30
2012 JUL,29
2012 AUG,28
2012 SEP,27
2012 OCT,27
2012 NOV,28
2012 DEC,28
2013 JAN,29
2013 FEB,29
2013 MAR,29
2013 APR,29
2013 MAY,30
2013 JUN,31
2013 JUL,31
2013 AUG,31
2013 SEP,29
2013 OCT,32
2013 NOV,33
2013 DEC,33
2014 JAN,31
2014 FEB,31
2014 MAR,32
2014 APR,31
2014 MAY,30
2014 JUN,28
2014 JUL,31
2014 AUG,34
2014 SEP,38
2014 OCT,37
2014 NOV,35
2014 DEC,35
2015 JAN,35
2015 FEB,36
2015 MAR,35
2015 APR,37
2015 MAY,36
2015 JUN,37
2015 JUL,37
2015 AUG,38
2015 SEP,40
2015 OCT,40
2015 NOV,41
2015 DEC,39
2016 JAN,41
2016 FEB,42
2016 MAR,42
2016 APR,42
2016 MAY,45
2016 JUN,46
2016 JUL,45
2016 AUG,40
2016 SEP,38
2016 OCT,37
2016 NOV,37
2016 DEC,39
2017 JAN,39
2017 FEB,40
2017 MAR,41
2017 APR,42
2017 MAY,41
2017 JUN,42
2017 JUL,43
2017 AUG,42
2017 SEP,42
2017 OCT,40
2017 NOV,43
2017 DEC,44
2018 JAN,44
2018 FEB,45
2018 MAR,46
2018 APR,47
2018 MAY,48
2018 JUN,48
2018 JUL,46
2018 AUG,47
2018 SEP,48
2018 OCT,50
2018 NOV,51
2018 DEC,53
2019 JAN,51
2019 FEB,49
2019 MAR,47
2019 APR,46
2019 MAY,43
2019 JUN,42
2019 JUL,42
2019 AUG,43
2019 SEP,43
2019 OCT,41
2019 NOV,41
2019 DEC,44
2020 JAN,43
2020 FEB,43
2020 MAR,32
2020 APR,22
2020 MAY,13
2020 JUN,16
2020 JUL,18
2020 AUG,22
2020 SEP,25
2020 OCT,29
2020 NOV,32
2020 DEC,36
2021 JAN,38
2021 FEB,40
2021 MAR,43
2021 APR,46
2021 MAY,48
2021 JUN,55
2021 JUL,58
2021 AUG,64
2021 SEP,65
2021 OCT,68
2021 NOV,69
2021 DEC,77
2022 JAN,77
2022 FEB,77
2022 MAR,79
2022 APR,78
2022 MAY,79
2022 JUN,70
2022 JUL,66
2022 AUG,64
2022 SEP,60
2022 OCT,60
2022 NOV,57
2022 DEC,54
2023 JAN,51
2023 FEB,53
2023 MAR,52
2023 APR,51
2023 MAY,47
2023 JUN,48
2023 JUL,46
2023 AUG,45
2023 SEP,42
2023 OCT,43
2023 NOV,42
2023 DEC,44
2024 JAN,42
