Day Index,Sessions
2014-09-25,1
2014-09-26,4
2014-09-27,8
2014-09-28,42
2014-09-29,233
2014-09-30,26
2014-10-01,6
2014-10-02,8
2014-10-03,2
2014-10-04,5
2014-10-05,65
2014-10-06,88
2014-10-07,38
2014-10-08,39
2014-10-09,15
2014-10-10,15
2014-10-11,12
2014-10-12,4
2014-10-13,8
2014-10-14,7
2014-10-15,1009
2014-10-16,352
2014-10-17,459
2014-10-18,229
2014-10-19,150
2014-10-20,164
2014-10-21,101
2014-10-22,73
2014-10-23,115
2014-10-24,86
2014-10-25,31
2014-10-26,222
2014-10-27,933
2014-10-28,159
2014-10-29,87
2014-10-30,450
2014-10-31,457
2014-11-01,236
2014-11-02,153
2014-11-03,176
2014-11-04,142
2014-11-05,138
2014-11-06,74
2014-11-07,57
2014-11-08,43
2014-11-09,424
2014-11-10,418
2014-11-11,199
2014-11-12,153
2014-11-13,454
2014-11-14,420
2014-11-15,196
2014-11-16,181
2014-11-17,205
2014-11-18,322
2014-11-19,711
2014-11-20,241
2014-11-21,164
2014-11-22,119
2014-11-23,92
2014-11-24,204
2014-11-25,96
2014-11-26,81
2014-11-27,53
2014-11-28,62
2014-11-29,40
2014-11-30,1051
2014-12-01,3350
2014-12-02,537
2014-12-03,256
2014-12-04,997
2014-12-05,503
2014-12-06,221
2014-12-07,216
2014-12-08,459
2014-12-09,1824
2014-12-10,465
2014-12-11,819
2014-12-12,452
2014-12-13,252
2014-12-14,227
2014-12-15,348
2014-12-16,254
2014-12-17,318
2014-12-18,968
2014-12-19,368
2014-12-20,165
2014-12-21,177
2014-12-22,199
2014-12-23,155
2014-12-24,116
2014-12-25,111
2014-12-26,101
2014-12-27,78
2014-12-28,95
2014-12-29,1315
2014-12-30,1012
2014-12-31,362
2015-01-01,698
2015-01-02,2157
2015-01-03,3601
2015-01-04,565
2015-01-05,571
2015-01-06,812
2015-01-07,3603
2015-01-08,1268
2015-01-09,652
2015-01-10,343
2015-01-11,329
2015-01-12,505
2015-01-13,351
2015-01-14,386
2015-01-15,338
2015-01-16,278
2015-01-17,245
2015-01-18,238
2015-01-19,260
2015-01-20,561
2015-01-21,1596
2015-01-22,1315
2015-01-23,701
2015-01-24,513
2015-01-25,423
2015-01-26,528
2015-01-27,518
2015-01-28,407
2015-01-29,303
2015-01-30,808
2015-01-31,637
2015-02-01,488
2015-02-02,562
2015-02-03,783
2015-02-04,417
2015-02-05,671
2015-02-06,625
2015-02-07,352
2015-02-08,300
2015-02-09,421
2015-02-10,357
2015-02-11,303
2015-02-12,327
2015-02-13,273
2015-02-14,227
2015-02-15,239
2015-02-16,887
2015-02-17,1176
2015-02-18,533
2015-02-19,891
2015-02-20,709
2015-02-21,373
2015-02-22,387
2015-02-23,734
2015-02-24,460
2015-02-25,426
2015-02-26,400
2015-02-27,411
2015-02-28,260
2015-03-01,263
2015-03-02,387
2015-03-03,333
2015-03-04,370
2015-03-05,342
2015-03-06,303
2015-03-07,192
2015-03-08,242
2015-03-09,781
2015-03-10,615
2015-03-11,501
2015-03-12,391
2015-03-13,416
2015-03-14,257
2015-03-15,254
2015-03-16,415
2015-03-17,382
2015-03-18,446
2015-03-19,403
2015-03-20,347
2015-03-21,243
2015-03-22,213
2015-03-23,457
2015-03-24,745
2015-03-25,433
2015-03-26,390
2015-03-27,333
2015-03-28,209
2015-03-29,241
2015-03-30,433
2015-03-31,422
2015-04-01,379
2015-04-02,334
2015-04-03,248
2015-04-04,221
2015-04-05,199
2015-04-06,327
2015-04-07,340
2015-04-08,506
2015-04-09,1446
2015-04-10,449
2015-04-11,259
2015-04-12,265
2015-04-13,459
2015-04-14,407
2015-04-15,415
2015-04-16,630
2015-04-17,474
2015-04-18,215
2015-04-19,285
2015-04-20,890
2015-04-21,627
2015-04-22,461
2015-04-23,419
2015-04-24,375
2015-04-25,258
2015-04-26,271
2015-04-27,421
2015-04-28,473
2015-04-29,389
2015-04-30,392
2015-05-01,262
2015-05-02,196
2015-05-03,236
2015-05-04,599
2015-05-05,1704
2015-05-06,768
2015-05-07,1361
2015-05-08,681
2015-05-09,312
2015-05-10,368
2015-05-11,600
2015-05-12,644
2015-05-13,510
2015-05-14,458
2015-05-15,92
2015-05-16,147
2015-05-17,385
2015-05-18,647
2015-05-19,528
2015-05-20,473
2015-05-21,478
2015-05-22,474
2015-05-23,253
2015-05-24,199
2015-05-25,341
2015-05-26,510
2015-05-27,620
2015-05-28,699
2015-05-29,452
2015-05-30,304
2015-05-31,370
2015-06-01,481
2015-06-02,577
2015-06-03,603
2015-06-04,517
2015-06-05,516
2015-06-06,261
2015-06-07,359
2015-06-08,695
2015-06-09,682
2015-06-10,934
2015-06-11,611
2015-06-12,688
2015-06-13,391
2015-06-14,376
2015-06-15,673
2015-06-16,748
2015-06-17,685
2015-06-18,753
2015-06-19,614
2015-06-20,298
2015-06-21,317
2015-06-22,625
2015-06-23,650
2015-06-24,647
2015-06-25,699
2015-06-26,490
2015-06-27,289
2015-06-28,301
2015-06-29,578
2015-06-30,637
2015-07-01,629
2015-07-02,997
2015-07-03,763
2015-07-04,431
2015-07-05,7613
2015-07-06,2314
2015-07-07,1099
2015-07-08,1011
2015-07-09,883
2015-07-10,643
2015-07-11,397
2015-07-12,438
2015-07-13,2052
2015-07-14,1283
2015-07-15,930
2015-07-16,1698
2015-07-17,1083
2015-07-18,549
2015-07-19,558
2015-07-20,886
2015-07-21,792
2015-07-22,782
2015-07-23,697
2015-07-24,626
2015-07-25,311
2015-07-26,415
2015-07-27,713
2015-07-28,801
2015-07-29,728
2015-07-30,625
2015-07-31,628
2015-08-01,283
2015-08-02,356
2015-08-03,659
2015-08-04,647
2015-08-05,613
2015-08-06,647
2015-08-07,562
2015-08-08,294
2015-08-09,327
2015-08-10,646
2015-08-11,650
2015-08-12,632
2015-08-13,552
2015-08-14,443
2015-08-15,267
2015-08-16,316
2015-08-17,1621
2015-08-18,912
2015-08-19,665
